Dst Port,Pkt Size Avg,Pkt Len Mean,Flow Duration,Flow IAT Max,Bwd Pkts/s,Bwd Header Len,Fwd Header Len,Init Fwd Win Byts,Fwd Seg Size Min,Label
22,0.0,0.0,8,8.0,125000.0,32,32,241,32,SSH-Bruteforce
53,90.5,60.3333333333,3040,3040.0,328.9473684211,8,8,-1,8,Benign
53,112.5,75.0,913,913.0,1095.2902519168,8,8,-1,8,Benign
80,128.625,114.3333333333,5053388,5001444.0,0.7915481653,136,136,26883,32,DoS attacks-GoldenEye
80,0.0,0.0,54142008,54142008.0,0.0,0,40,279,20,Benign
80,0.0,0.0,3802,3802.0,0.0,0,64,225,32,DoS attacks-Hulk
80,134.625,119.6666666667,5003981,5002962.0,0.7993635467,136,136,26883,32,DoS attacks-GoldenEye
53,131.5,87.6666666667,2992,2992.0,334.2245989305,8,8,-1,8,Benign
61862,182.2857143,159.5,14924,14400.0,134.0123291,40,124,65535,20,Benign
80,186.75,166.0,5005580,5000120.0,0.7991081953,136,136,26883,32,DoS attacks-GoldenEye
21,0.0,0.0,17,17.0,58823.5294117647,20,40,26883,40,FTP-BruteForce
47850,143.4444444,129.1,4110122,4058547.0,0.973207121,136,168,219,32,Benign
80,8.0,5.3333333333,3,3.0,333333.333333333,32,32,211,32,DoS attacks-Slowloris
52023,0.0,0.0,17,17.0,58823.52941,20,20,176,20,Benign
1972,0.0,0.0,3,3.0,333333.3333,20,24,1024,24,Infilteration
21,0.0,0.0,17,17.0,58823.5294117647,20,40,26883,40,FTP-BruteForce
80,0.0,0.0,1791381,1791381.0,0.0,0,64,226,32,DoS attacks-GoldenEye
443,0.0,0.0,130,130.0,0.0,0,40,257,20,Benign
80,177.7142857,155.5,1144,500.0,3496.503497,92,72,65535,20,DDOS attack-HOIC
53,83.0,55.3333333333,286,286.0,3496.5034965035,8,8,-1,8,Benign
80,92.7142857143,81.125,815,248.0,4907.9754601227,92,72,8192,20,Benign
80,27.3333333333,24.6,100031280,99999412.0,0.0399874919,136,168,26883,32,DoS attacks-Slowloris
8080,0.0,0.0,591,591.0,0.0,0,40,2052,20,Bot
8080,0.0,0.0,529,529.0,0.0,0,40,2052,20,Bot
443,81.0714285714,78.275862069,118730476,58724705.0,0.1179141234,292,292,8192,20,Benign
80,0.0,0.0,28168,28168.0,0.0,0,64,225,32,DoS attacks-Hulk
80,0.0,0.0,668,668.0,0.0,0,40,2053,20,Brute Force -XSS
80,32.00026868,32.0,119902652,818821.0,0.0,0,952808,-1,8,DDOS attack-LOIC-UDP
57492,199.1,181.0,2949363,2431597.0,1.69528132,168,168,237,32,Benign
21,0.0,0.0,1,1.0,1000000.0,20,40,26883,40,FTP-BruteForce
53,84.5,56.3333333333,420,420.0,2380.9523809524,8,8,-1,8,Benign
3389,169.5625,159.5882353,2164390,953394.0,3.234167595,152,192,8192,20,Benign
3389,180.6,169.3125,3012983,966255.0,2.3232789564,152,172,64240,20,Benign
80,32.0002105,32.0,119778484,543693.0,0.0,0,1216168,-1,8,DDOS attack-LOIC-UDP
51571,0.0,0.0,41,41.0,0.0,0,40,259,20,Benign
80,175.0,155.5555555556,5008508,5002424.0,0.7986410324,136,136,26883,32,DoS attacks-GoldenEye
53,94.5,63.0,23365,23365.0,42.7990584207,8,8,-1,8,Benign
445,0.0,0.0,20,20.0,50000.0,20,32,8192,32,Infilteration
50454,157.125,139.6666667,4145434,4102986.0,0.723687797,104,168,219,32,Benign
52547,0.0,0.0,435960,435960.0,0.0,0,40,60,20,Benign
443,41.0,30.75,1039,1022.0,0.0,0,60,256,20,Benign
443,211.9411765,205.8857143,119981590,58600000.0,0.12501918,312,392,8192,20,Benign
53,58.0,38.66666667,206,206.0,4854.368932,8,8,-1,8,Benign
51486,7.75,6.2,332,314.0,3012.0481927711,20,60,1077,20,Benign
53,68.0,45.3333333333,291,291.0,3436.4261168385,8,8,-1,8,Benign
80,0.0,0.0,2688,2688.0,0.0,0,64,225,32,DoS attacks-Hulk
80,416.5192307692,408.6603773585,113611735,10022462.0,0.2640572297,744,452,8192,20,Benign
53,142.0,94.6666666667,25009,25009.0,39.9856051821,8,8,-1,8,Benign
80,92.7142857143,81.125,589,198.0,6791.1714770798,92,72,8192,20,Benign
443,179.84375,174.3939394,118177442,58900000.0,0.135389629,332,332,8192,20,Infilteration
3389,150.3333333,143.5,4497480,1191523.0,2.001120628,192,252,8192,20,Benign
500,583.3333333333,500.0,89479007,41990148.0,0.0,0,48,-1,8,Brute Force -Web
53,53.0,35.3333333333,778,778.0,1285.3470437018,8,8,-1,8,Benign
1034,0.0,0.0,88138454,88138454.0,0.0,0,40,63326,20,Benign
